Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-02-14,122.230003,124.650002,121.900002,122.540001,118.941483,987700,0
2022-02-15,125.269997,128.970001,124.809998,128.759995,124.978821,1094600,1
2022-02-16,128.350006,131.289993,127.839996,130.039993,126.221245,926700,2
2022-02-17,128.889999,131.009995,126.470001,126.699997,122.979309,1418600,3
2022-02-18,127.080002,129.399994,125.720001,126.580002,122.862846,923600,4
2022-02-22,126.110001,135.990005,125.400002,129.630005,125.823273,4037800,5
2022-02-23,130.699997,132.139999,128.199997,129.100006,125.308846,1396600,6
2022-02-24,125.160004,129.330002,124.82,128.929993,125.143829,1397200,7
2022-02-25,129.529999,134.669998,128.899994,134.110001,130.171722,1097300,8
2022-02-28,131.330002,132.970001,129.380005,132.039993,128.162491,1109000,9
2022-03-01,131.229996,132.399994,123.519997,124.699997,121.038048,1261000,10
2022-03-02,124.860001,129.830002,124.510002,128.470001,124.697334,903000,11
2022-03-03,128.610001,128.880005,123.260002,124.57,120.911873,1197100,12
2022-03-04,122.419998,122.82,114.510002,116.050003,112.642067,1562100,13
2022-03-07,114.300003,114.68,101.5,101.860001,98.868782,2636800,14
2022-03-08,102.589996,106.870003,100.440002,101.010002,98.043739,1985500,15
2022-03-09,106.470001,109.470001,105.400002,108.639999,105.449669,1481900,16
2022-03-10,105.739998,112.209999,105.739998,109.120003,105.915581,1288400,17
2022-03-11,110,110.459999,107.25,107.540001,104.381973,835400,18
2022-03-14,108.559998,110.330002,106.559998,107.589996,104.430504,1193700,19
2022-03-15,108.559998,110.199997,105.040001,108.019997,104.847878,1142700,20
2022-03-16,110.940002,117.5,110,114,110.652267,1055100,21
2022-03-17,116.099998,119.330002,114.720001,119.220001,115.718979,1184400,22
2022-03-18,117.980003,121.720001,116.830002,121.400002,117.834953,1298200,23
2022-03-21,121.529999,122.019997,117.519997,118.5,115.020126,707600,24
2022-03-22,120.18,120.970001,115.910004,117.279999,113.835953,716500,25
2022-03-23,116.400002,117.160004,115.370003,116.370003,112.952667,518700,26
2022-03-24,117.239998,117.910004,116.269997,117.580002,114.127144,532600,27
2022-03-25,118.370003,118.529999,116.220001,117.440002,113.991249,508200,28
2022-03-28,116.980003,119.459999,114.849998,119.110001,115.612206,1065800,29
2022-03-29,122.07,125.260002,121.889999,122.629997,119.028839,965200,30
2022-03-30,122.089996,122.410004,118.769997,119.720001,116.2043,754200,31
2022-03-31,117.980003,118.889999,113.18,113.440002,110.745132,883900,32
2022-04-01,114.620003,114.620003,110.800003,112,109.339348,706600,33
2022-04-04,111.580002,115.629997,110.709999,115.07,112.336403,740900,34
2022-04-05,111.160004,113.330002,110.239998,110.629997,108.001884,920400,35
2022-04-06,109.470001,109.529999,104.720001,105.910004,103.394012,960500,36
