Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-04-09,112.660004,113.639999,112.300003,112.470001,102.029114,739900,36
2018-04-10,114.379997,115.349998,113.120003,115.050003,104.369606,774600,37
2018-04-11,114.019997,116.690002,114.019997,114.360001,103.743652,600000,38
2018-04-12,114.5,115.379997,113.690002,113.989998,103.408005,584400,39
2018-04-13,114.449997,114.970001,109.32,111.150002,100.831657,1188500,40
2018-04-16,111.980003,112.589996,111.07,111.989998,101.593681,782100,41
2018-04-17,112.730003,113.82,111.260002,113.410004,102.881851,873400,42
2018-04-18,113.559998,115,111.099998,111.349998,101.013092,610600,43
2018-04-19,111.339996,111.769997,108.910004,110.089996,99.870056,795600,44
2018-04-20,109.690002,110.419998,105.760002,106.269997,96.404678,955000,45
2018-04-23,106.970001,110.120003,106.940002,109.43,99.271317,864500,46
2018-04-24,109.650002,110.989998,107.419998,108.360001,98.300674,732700,47
2018-04-25,108.360001,109.739998,107.639999,108.790001,98.690735,465100,48
2018-04-26,108.720001,110.480003,107.599998,110.010002,99.797493,482200,49
2018-04-27,109.959999,112.129997,109.82,111.040001,100.731865,866500,50
2018-04-30,111.620003,112.360001,109.720001,109.849998,99.652328,643300,51
2018-05-01,108.360001,108.629997,104.629997,106.93,97.003395,1000500,52
2018-05-02,106.790001,107.480003,105.050003,106.559998,96.66777,948000,53
2018-05-03,106.230003,108.360001,105.720001,107.290001,97.329994,977700,54
2018-05-04,106.75,107.269997,105.220001,106.800003,96.885483,809900,55
2018-05-07,106.839996,107.330002,103.980003,106.190002,96.3321,681400,56
2018-05-08,106.5,107.849998,105.82,106.580002,96.685898,1082900,57
2018-05-09,107.260002,110.110001,106.019997,109.849998,99.652328,886400,58
2018-05-10,109.730003,109.82,107.57,108.959999,98.844963,605900,59
2018-05-11,108.75,109.440002,108.169998,109.010002,98.890312,857400,60
2018-05-14,109.690002,111.080002,109.010002,110.480003,100.223862,708300,61
2018-05-15,109.620003,112.330002,109,111.459999,101.112869,814900,62
2018-05-16,112.580002,113.599998,111.360001,112.169998,101.756981,804000,63
2018-05-17,111.790001,114.910004,111.790001,113.620003,103.072357,1173000,64
2018-05-18,113.050003,115.599998,112.379997,115.459999,104.741539,1222100,65
2018-05-21,116.260002,117.889999,115.099998,117.080002,106.211159,1363500,66
2018-05-22,117.110001,117.480003,115.540001,116.610001,105.78479,1788200,67
