YEAR,Car_Age,MILEAGE,CAR_PRICE
2021,2,16065,25999
2020,3,63127,20497
2019,4,61340,20497
2020,3,55762,21995
2017,6,62783,18999
2020,3,63955,20224
2020,3,58157,21551
2020,3,60755,20271
2020,3,64487,22624
2020,3,59459,21995
